"","trt_mo","body_mm_est","body_mm_SE","Q5","Q95","Q10","Q90","Q20","Q80","trt","month","mo_jit","spp"
"1","bison 6",16.276634757823,0.117225888532492,16.0792281159519,16.4661086721949,16.1293740328012,16.4234923059293,16.1814017370494,16.3719216831041,"bison",6,5.9,"CP"
"2","cattle 6",16.5708186081444,0.183016593104018,16.2876812441927,16.8766460832361,16.3580221826079,16.7972712460404,16.4263378607183,16.712373818598,"cattle",6,5.8,"CP"
"11","trtpd 6",15.0165370690542,0.973607101170349,13.4499898569663,16.6263729567045,13.8170110257427,16.2380744596305,14.2475137639456,15.812398099619,"trtpd",6,6,"CP"
"3","ungrazed 6",16.7616269690799,0.145400861927284,16.5133812602565,16.9941348422594,16.574983936507,16.9409604970718,16.6464440679026,16.8772387825485,"ungrazed",6,6.2,"CP"
"12","untrtpd 6",16.1403293472618,0.280256694517231,15.6891774872681,16.5897008018813,15.8115803216919,16.473015701803,15.9380593577895,16.3466632037884,"untrtpd",6,6.1,"CP"
"4","bison 7",16.0322134147062,0.140975497188193,15.7983551131784,16.2622846476058,15.8544464707101,16.2095773227398,15.917426935472,16.1498066319578,"bison",7,6.9,"CP"
"5","cattle 7",16.2870008861533,0.103132405982792,16.1169530639262,16.4536183755486,16.1555494440746,16.4188011814589,16.2016961778101,16.3711411900152,"cattle",7,6.8,"CP"
"6","trtpd 7",15.2253311326615,0.682852937856538,14.1199843383697,16.3493272418692,14.3622484669582,16.0771846867566,14.6795541347618,15.7763700789865,"trtpd",7,7,"CP"
"7","ungrazed 7",16.4748675580528,0.291999244398463,15.9652572728759,16.903710677838,16.0973511154426,16.7937781180155,16.2595026039339,16.6865209051405,"ungrazed",7,7.2,"CP"
"13","untrtpd 7",16.0330903757968,0.1512669152596,15.7860369518162,16.2649922286401,15.8483831277971,16.2154078950291,15.9169592950031,16.156039872976,"untrtpd",7,7.1,"CP"
"8","bison 8",15.8008086679587,0.130250361468145,15.5834550159082,16.0159082189611,15.6317728232989,15.9652404892361,15.6926352569457,15.910318373327,"bison",8,7.9,"CP"
"9","cattle 8",16.3297781026028,0.0871462713242166,16.1893663288245,16.4742524245554,16.2215829318989,16.4394284695366,16.2596310884644,16.3995287344191,"cattle",8,7.8,"CP"
"14","trtpd 8",15.3077028303099,0.332134116774492,14.7774583368215,15.8745933149268,14.9044528246413,15.7263361277905,15.0421596167919,15.5695655726515,"trtpd",8,8,"CP"
"10","ungrazed 8",16.4775085757856,0.120787565275044,16.2799156971153,16.6721202090391,16.3220689059335,16.6298771024958,16.3781159010649,16.5784281912899,"ungrazed",8,8.2,"CP"
"15","untrtpd 8",15.3148530405677,0.25814412908496,14.8854569066287,15.7250790019258,15.000119147138,15.6246191781252,15.1146082077831,15.5181776451853,"untrtpd",8,8.1,"CP"
"16","bison 6",7.8443635393259,0.0712072036222851,7.7282177299043,7.95912232950203,7.7556921272799,7.93588953064505,7.78600122200313,7.90246214062888,"bison",6,5.9,"ONf"
"21","cattle 6",7.90816124790418,0.0805272073517858,7.77452255993723,8.03314941465834,7.80685125378867,8.0073072057426,7.84380180744514,7.97409113398895,"cattle",6,5.8,"ONf"
"101","trtpd 6",7.84193870630426,0.147303555555264,7.6028513341414,8.07454089595245,7.66007107054567,8.02013146474395,7.72489591817263,7.95863422750371,"trtpd",6,6,"ONf"
"31","ungrazed 6",7.88823698754618,0.0914786077881302,7.7386260334567,8.03653121827812,7.76835958925072,8.0072093282644,7.81346241827408,7.96595632951339,"ungrazed",6,6.2,"ONf"
"151","untrtpd 6",7.66474685545096,0.11769667664988,7.46360130810618,7.8449569585295,7.51708034272034,7.80706126570068,7.57651029844012,7.7581389602508,"untrtpd",6,6.1,"ONf"
"41","bison 7",7.76670784122256,0.142409668539942,7.53337653006964,7.99096801077694,7.58464279193164,7.94252598798553,7.65217441012246,7.8830266191945,"bison",7,6.9,"ONf"
"51","cattle 7",7.87524739242551,0.100389635574406,7.71201030521608,8.03932050802084,7.74988594895961,7.9987752129235,7.79494830282991,7.95523915482329,"cattle",7,6.8,"ONf"
"111","trtpd 7",8.04977116723081,0.155949162105094,7.81138305165482,8.29975466507707,7.86437844427458,8.24293202658597,7.92770825001471,8.17343552332883,"trtpd",7,7,"ONf"
"91","ungrazed 7",7.89907923939142,0.143589192611905,7.66079088876739,8.12337769202609,7.72575824217298,8.06969123611728,7.79046497368566,8.00901760334968,"ungrazed",7,7.2,"ONf"
"121","untrtpd 7",7.95991642533572,0.156978663000854,7.71411355823435,8.21786231085499,7.77186620114947,8.15275465399375,7.83951116999414,8.08016472882373,"untrtpd",7,7.1,"ONf"
"81","bison 8",7.5123767194491,0.175886727141712,7.23577145192075,7.79889787922392,7.29946892032924,7.73320608001688,7.36967349459217,7.64807046036135,"bison",8,7.9,"ONf"
"61","cattle 8",7.65075847774941,0.158391971373778,7.37888686244601,7.88953148661929,7.45334379875144,7.83075227973067,7.52963061531701,7.7701354198877,"cattle",8,7.8,"ONf"
"131","trtpd 8",7.65467729658225,0.162209972208119,7.39747231868759,7.91639802236434,7.46511031839583,7.85330516180334,7.53454192613616,7.77932250002888,"trtpd",8,8,"ONf"
"71","ungrazed 8",7.47298533338484,0.157187992012139,7.2188315241992,7.73414777312092,7.27885869315437,7.67157007055817,7.34356923132072,7.60105996247436,"ungrazed",8,8.2,"ONf"
"141","untrtpd 8",7.69717929180858,0.126726654173525,7.51323213748532,7.90646416017333,7.55791118088904,7.84217785315943,7.60843030074149,7.77662492193705,"untrtpd",8,8.1,"ONf"
"17","bison 6",8.03826792340937,0.0923980421718202,7.88711401817145,8.18906326536563,7.92082388426926,8.15369275967416,7.96239203758828,8.11360482823059,"bison",6,5.9,"ONm"
"22","cattle 6",8.08070718612661,0.118473236979666,7.90463828389159,8.28031789887476,7.94178911126352,8.22288537094181,7.98938228113748,8.16349338201422,"cattle",6,5.8,"ONm"
"102","trtpd 6",8.07364911458356,0.145571014392514,7.84222173685504,8.3159929673181,7.89712683656826,8.25145739130286,7.95862363571004,8.18705702650558,"trtpd",6,6,"ONm"
"32","ungrazed 6",8.14267450616176,0.0703106049408888,8.02948156097974,8.2607774871402,8.05166526511929,8.23020945799844,8.08434786785995,8.20076481642718,"ungrazed",6,6.2,"ONm"
"112","untrtpd 6",8.12043887474682,0.167858572928707,7.85192113244139,8.39610270038372,7.91496779739169,8.31918665430786,7.99405916009394,8.24111411442488,"untrtpd",6,6.1,"ONm"
"42","bison 7",7.93328426546045,0.146609447464214,7.68982124647843,8.16499013422278,7.74752328019961,8.11143528686145,7.81583792931525,8.0494983354541,"bison",7,6.9,"ONm"
"52","cattle 7",8.03038645002454,0.0770111532066152,7.90579785275187,8.15313775090442,7.93257328577383,8.12611169938255,7.96795587971512,8.0933421720531,"cattle",7,6.8,"ONm"
"122","trtpd 7",8.02035981880553,0.169298475333497,7.73908479791736,8.28502157403239,7.81590020262117,8.22183206175898,7.89098672539168,8.15521074919503,"trtpd",7,7,"ONm"
"62","ungrazed 7",7.92802222342855,0.285310251891698,7.47185461373799,8.41002371623763,7.58843308973991,8.27997802742476,7.70472204570475,8.1413791727208,"ungrazed",7,7.2,"ONm"
"132","untrtpd 7",7.87295975257726,0.110427674729579,7.69264095419565,8.051278897038,7.740086671095,8.01007563282304,7.78617631381084,7.96081178159813,"untrtpd",7,7.1,"ONm"
"72","bison 8",7.80315432854247,0.0952086753523556,7.64607323607185,7.95871602025644,7.68553006633315,7.92250797885679,7.72931200196053,7.87871444313908,"bison",8,7.9,"ONm"
"82","cattle 8",8.00341952762643,0.10852945668222,7.83236443216227,8.18305979341073,7.86751873176028,8.13936170232547,7.91543909254712,8.08980545374932,"cattle",8,7.8,"ONm"
"142","trtpd 8",8.38139160778022,0.390760441237605,7.84009089498213,9.20362388217918,7.96749814922276,8.81863220753007,8.10080349383448,8.60896836959368,"trtpd",8,8,"ONm"
"92","ungrazed 8",8.54454094678909,0.312003357936277,8.06211657249552,9.00714193169762,8.18928397173576,8.90612157364081,8.3354331477957,8.77189095059291,"ungrazed",8,8.2,"ONm"
"152","untrtpd 8",7.91837523872158,0.162487961351046,7.66203632058922,8.18643457578636,7.71812718591825,8.12271214100449,7.78768989020491,8.04614193660004,"untrtpd",8,8.1,"ONm"
