code,trt,site,yr,mo,day,plot,browser_100m2,patty_100m2,PD_1m2,browser_minusLastMo,patty_minusLastMo,PD_minusLastMo,browser_lastMo,patty_lastMo,PD_lastMo,browser_2MoPrior,patty_2MoPrior,PD_2MoPrior
cattle_1-7,cattle,cattle_1,2022,7,12,5,7,9,0,-2,-6,NA,9,15,0,NA,NA,NA
cattle_1-7,cattle,cattle_1,2022,7,12,6,8,0,0,-5,-3,NA,13,3,0,NA,NA,NA
cattle_1-7,cattle,cattle_1,2022,7,12,7,9,9,0,-2,-2,NA,11,11,0,NA,NA,NA
cattle_1-7,cattle,cattle_1,2022,7,12,8,11,4,0,1,-1,NA,10,5,0,NA,NA,NA
cattle_2-7,cattle,cattle_2,2022,7,6,1,1,10,0,1,4,NA,0,6,0,NA,NA,NA
cattle_2-7,cattle,cattle_2,2022,7,6,2,0,13,0,-2,-1,NA,2,14,0,NA,NA,NA
cattle_2-7,cattle,cattle_2,2022,7,6,3,1,14,0,0,-1,NA,1,15,0,NA,NA,NA
cattle_2-7,cattle,cattle_2,2022,7,6,4,0,16,0,-1,-2,NA,1,18,0,NA,NA,NA
cattle_2-7,cattle,cattle_2,2022,7,6,5,0,13,0,0,2,NA,0,11,0,NA,NA,NA
cattle_2-7,cattle,cattle_2,2022,7,6,6,1,5,0,0,-2,NA,1,7,0,NA,NA,NA
cattle_2-7,cattle,cattle_2,2022,7,6,7,0,13,0,-2,-5,NA,2,18,0,NA,NA,NA
cattle_2-7,cattle,cattle_2,2022,7,6,8,0,9,0,0,-1,NA,0,10,0,NA,NA,NA
cattle_3-7,cattle,cattle_3,2022,7,5,1,0,4,0,0,4,NA,0,0,0,NA,NA,NA
cattle_3-7,cattle,cattle_3,2022,7,5,2,0,0,0,0,-1,NA,0,1,0,NA,NA,NA
cattle_3-7,cattle,cattle_3,2022,7,5,3,0,0,0,0,0,NA,0,0,0,NA,NA,NA
cattle_3-7,cattle,cattle_3,2022,7,5,4,0,0,0,0,0,NA,0,0,0,NA,NA,NA
cattle_3-7,cattle,cattle_3,2022,7,5,5,0,1,0,0,1,NA,0,0,0,NA,NA,NA
cattle_3-7,cattle,cattle_3,2022,7,5,6,0,0,0,0,-1,NA,0,1,0,NA,NA,NA
cattle_3-7,cattle,cattle_3,2022,7,5,7,0,2,0,0,-1,NA,0,3,0,NA,NA,NA
cattle_3-7,cattle,cattle_3,2022,7,5,8,0,3,0,0,-1,NA,0,4,0,NA,NA,NA
trtpd_1-7,trtpd,trtpd_1,2022,7,6,1,0,0,7,0,0,0,0,0,7,NA,NA,NA
trtpd_1-7,trtpd,trtpd_1,2022,7,6,2,0,1,3,0,1,1,0,0,2,NA,NA,NA
trtpd_1-7,trtpd,trtpd_1,2022,7,6,3,0,2,5,0,-3,-1,0,5,6,NA,NA,NA
trtpd_1-7,trtpd,trtpd_1,2022,7,6,4,0,3,10,0,-1,-4,0,4,14,NA,NA,NA
trtpd_1-7,trtpd,trtpd_1,2022,7,6,5,0,5,3,0,-3,-1,0,8,4,NA,NA,NA
trtpd_1-7,trtpd,trtpd_1,2022,7,6,6,0,5,5,0,0,-13,0,5,18,NA,NA,NA
trtpd_1-7,trtpd,trtpd_1,2022,7,6,7,0,11,10,0,-4,-8,0,15,18,NA,NA,NA
trtpd_1-7,trtpd,trtpd_1,2022,7,6,8,0,7,8,0,-2,-12,0,9,20,NA,NA,NA
trtpd_2-7,trtpd,trtpd_2,2022,7,4,1,0,0,0,-1,0,0,1,0,0,NA,NA,NA
trtpd_2-7,trtpd,trtpd_2,2022,7,4,2,0,0,0,-1,0,0,1,0,0,NA,NA,NA
trtpd_2-7,trtpd,trtpd_2,2022,7,4,3,0,0,1,0,0,1,0,0,0,NA,NA,NA
trtpd_2-7,trtpd,trtpd_2,2022,7,4,4,0,0,39,0,0,0,0,0,39,NA,NA,NA
trtpd_2-7,trtpd,trtpd_2,2022,7,4,5,0,1,2,0,1,-6,0,0,8,NA,NA,NA
trtpd_2-7,trtpd,trtpd_2,2022,7,4,6,0,0,7,0,0,2,0,0,5,NA,NA,NA
trtpd_2-7,trtpd,trtpd_2,2022,7,4,7,0,2,20,0,0,10,0,2,10,NA,NA,NA
trtpd_2-7,trtpd,trtpd_2,2022,7,4,8,0,1,9,0,0,-103,0,1,112,NA,NA,NA
trtpd_3-7,trtpd,trtpd_3,2022,7,7,1,0,1,3,0,1,2,0,0,1,NA,NA,NA
trtpd_3-7,trtpd,trtpd_3,2022,7,7,2,0,1,2,0,-1,-11,0,2,13,NA,NA,NA
trtpd_3-7,trtpd,trtpd_3,2022,7,7,3,0,1,12,0,-1,2,0,2,10,NA,NA,NA
trtpd_3-7,trtpd,trtpd_3,2022,7,7,4,0,2,3,0,-3,-15,0,5,18,NA,NA,NA
trtpd_3-7,trtpd,trtpd_3,2022,7,7,5,0,5,6,0,0,-9,0,5,15,NA,NA,NA
trtpd_3-7,trtpd,trtpd_3,2022,7,7,6,0,1,5,0,-2,5,0,3,0,NA,NA,NA
trtpd_3-7,trtpd,trtpd_3,2022,7,7,7,0,3,3,0,-2,2,0,5,1,NA,NA,NA
trtpd_3-7,trtpd,trtpd_3,2022,7,7,8,0,2,4,0,-1,1,0,3,3,NA,NA,NA
ungrazed_1-7,ungrazed,ungrazed_1,2022,7,4,1,1,0,0,-1,0,NA,2,0,0,NA,NA,NA
ungrazed_1-7,ungrazed,ungrazed_1,2022,7,4,2,1,0,0,0,0,NA,1,0,0,NA,NA,NA
ungrazed_1-7,ungrazed,ungrazed_1,2022,7,4,3,1,2,0,-1,2,NA,2,0,0,NA,NA,NA
ungrazed_1-7,ungrazed,ungrazed_1,2022,7,4,4,2,0,0,1,0,NA,1,0,0,NA,NA,NA
ungrazed_1-7,ungrazed,ungrazed_1,2022,7,4,5,2,0,0,1,0,NA,1,0,0,NA,NA,NA
ungrazed_1-7,ungrazed,ungrazed_1,2022,7,4,6,1,0,0,1,0,NA,0,0,0,NA,NA,NA
ungrazed_1-7,ungrazed,ungrazed_1,2022,7,4,7,2,0,0,1,0,NA,1,0,0,NA,NA,NA
ungrazed_1-7,ungrazed,ungrazed_1,2022,7,4,8,0,0,0,-1,0,NA,1,0,0,NA,NA,NA
ungrazed_2-7,ungrazed,ungrazed_2,2022,7,12,1,0,0,0,0,0,NA,0,0,0,NA,NA,NA
ungrazed_2-7,ungrazed,ungrazed_2,2022,7,12,2,1,0,0,-1,0,NA,2,0,0,NA,NA,NA
ungrazed_2-7,ungrazed,ungrazed_2,2022,7,12,3,2,0,0,2,0,NA,0,0,0,NA,NA,NA
ungrazed_2-7,ungrazed,ungrazed_2,2022,7,12,4,1,0,0,1,0,NA,0,0,0,NA,NA,NA
ungrazed_2-7,ungrazed,ungrazed_2,2022,7,12,5,0,0,0,-1,0,NA,1,0,0,NA,NA,NA
ungrazed_2-7,ungrazed,ungrazed_2,2022,7,12,6,2,0,0,-1,0,NA,3,0,0,NA,NA,NA
ungrazed_2-7,ungrazed,ungrazed_2,2022,7,12,7,0,0,0,-2,0,NA,2,0,0,NA,NA,NA
ungrazed_2-7,ungrazed,ungrazed_2,2022,7,12,8,0,1,0,0,0,NA,0,1,0,NA,NA,NA
ungrazed_3-7,ungrazed,ungrazed_3,2022,7,11,1,0,0,0,0,0,NA,0,0,0,NA,NA,NA
ungrazed_3-7,ungrazed,ungrazed_3,2022,7,11,2,1,0,0,0,0,NA,1,0,0,NA,NA,NA
ungrazed_3-7,ungrazed,ungrazed_3,2022,7,11,3,1,0,0,-1,0,NA,2,0,0,NA,NA,NA
ungrazed_3-7,ungrazed,ungrazed_3,2022,7,11,4,0,0,0,0,0,NA,0,0,0,NA,NA,NA
ungrazed_3-7,ungrazed,ungrazed_3,2022,7,11,5,0,0,0,0,0,NA,0,0,0,NA,NA,NA
ungrazed_3-7,ungrazed,ungrazed_3,2022,7,11,6,0,0,0,0,0,NA,0,0,0,NA,NA,NA
ungrazed_3-7,ungrazed,ungrazed_3,2022,7,11,7,0,0,0,0,0,NA,0,0,0,NA,NA,NA
ungrazed_3-7,ungrazed,ungrazed_3,2022,7,11,8,0,0,0,0,0,NA,0,0,0,NA,NA,NA
untrtpd_1-7,untrtpd,untrtpd_1,2022,7,8,1,0,11,144,-1,6,10,1,5,134,NA,NA,NA
untrtpd_1-7,untrtpd,untrtpd_1,2022,7,8,2,0,10,113,0,4,-2,0,6,115,NA,NA,NA
untrtpd_1-7,untrtpd,untrtpd_1,2022,7,8,3,0,7,28,0,0,-4,0,7,32,NA,NA,NA
untrtpd_1-7,untrtpd,untrtpd_1,2022,7,8,4,0,16,403,0,-7,47,0,23,356,NA,NA,NA
untrtpd_1-7,untrtpd,untrtpd_1,2022,7,8,5,0,22,299,-1,13,135,1,9,164,NA,NA,NA
untrtpd_1-7,untrtpd,untrtpd_1,2022,7,8,6,0,17,182,-1,-4,-49,1,21,231,NA,NA,NA
untrtpd_1-7,untrtpd,untrtpd_1,2022,7,8,7,0,19,152,0,9,-70,0,10,222,NA,NA,NA
untrtpd_1-7,untrtpd,untrtpd_1,2022,7,8,8,0,3,56,-2,-3,12,2,6,44,NA,NA,NA
untrtpd_2-7,untrtpd,untrtpd_2,2022,7,6,1,0,1,4,0,0,1,0,1,3,NA,NA,NA
untrtpd_2-7,untrtpd,untrtpd_2,2022,7,6,2,1,5,4,1,1,2,0,4,2,NA,NA,NA
untrtpd_2-7,untrtpd,untrtpd_2,2022,7,6,3,0,9,1,0,2,-34,0,7,35,NA,NA,NA
untrtpd_2-7,untrtpd,untrtpd_2,2022,7,6,4,0,7,43,0,2,20,0,5,23,NA,NA,NA
untrtpd_2-7,untrtpd,untrtpd_2,2022,7,6,5,0,13,13,0,1,12,0,12,1,NA,NA,NA
untrtpd_2-7,untrtpd,untrtpd_2,2022,7,6,6,0,9,14,0,-9,-25,0,18,39,NA,NA,NA
untrtpd_2-7,untrtpd,untrtpd_2,2022,7,6,7,1,10,17,1,3,-40,0,7,57,NA,NA,NA
untrtpd_2-7,untrtpd,untrtpd_2,2022,7,6,8,0,10,4,-1,3,-14,1,7,18,NA,NA,NA
untrtpd_3-7,untrtpd,untrtpd_3,2022,7,6,1,0,14,4,0,1,-3,0,13,7,NA,NA,NA
untrtpd_3-7,untrtpd,untrtpd_3,2022,7,6,2,0,12,2,0,-1,-2,0,13,4,NA,NA,NA
untrtpd_3-7,untrtpd,untrtpd_3,2022,7,6,3,0,8,4,0,-1,-5,0,9,9,NA,NA,NA
untrtpd_3-7,untrtpd,untrtpd_3,2022,7,6,4,0,13,4,0,-5,-10,0,18,14,NA,NA,NA
untrtpd_3-7,untrtpd,untrtpd_3,2022,7,6,5,0,12,14,0,-1,5,0,13,9,NA,NA,NA
untrtpd_3-7,untrtpd,untrtpd_3,2022,7,6,6,0,8,20,0,-1,15,0,9,5,NA,NA,NA
untrtpd_3-7,untrtpd,untrtpd_3,2022,7,6,7,0,12,4,0,0,-16,0,12,20,NA,NA,NA
untrtpd_3-7,untrtpd,untrtpd_3,2022,7,6,8,0,8,6,0,-7,-5,0,15,11,NA,NA,NA
bison_1-8,bison,bison_1,2022,8,9,1,0,2,0,0,-2,NA,0,4,0,0,3,0
bison_1-8,bison,bison_1,2022,8,9,2,1,4,0,1,0,NA,0,4,0,0,6,0
bison_1-8,bison,bison_1,2022,8,9,3,0,7,0,0,1,NA,0,6,0,0,5,0
bison_1-8,bison,bison_1,2022,8,9,4,0,1,0,0,-1,NA,0,2,0,0,0,0
bison_1-8,bison,bison_1,2022,8,9,5,0,3,0,0,0,NA,0,3,0,0,3,0
bison_1-8,bison,bison_1,2022,8,9,6,0,0,0,0,-2,NA,0,2,0,0,2,0
bison_1-8,bison,bison_1,2022,8,9,7,0,4,0,0,-2,NA,0,6,0,1,5,0
bison_1-8,bison,bison_1,2022,8,9,8,0,5,0,0,-3,NA,0,8,0,0,3,0
bison_2-8,bison,bison_2,2022,8,2,1,0,16,0,-1,-5,NA,1,21,0,1,23,0
bison_2-8,bison,bison_2,2022,8,2,2,1,26,0,-1,-1,NA,2,27,0,1,29,0
bison_2-8,bison,bison_2,2022,8,2,3,0,13,0,0,-5,NA,0,18,0,1,18,0
bison_2-8,bison,bison_2,2022,8,2,4,0,19,0,-1,-2,NA,1,21,0,1,21,0
bison_2-8,bison,bison_2,2022,8,2,5,0,12,0,0,-3,NA,0,15,0,0,20,0
bison_2-8,bison,bison_2,2022,8,2,6,4,33,0,4,1,NA,0,32,0,1,31,0
bison_2-8,bison,bison_2,2022,8,2,7,0,32,0,0,-9,NA,0,41,0,0,36,0
bison_2-8,bison,bison_2,2022,8,2,8,0,26,0,0,-7,NA,0,33,0,0,42,0
bison_3-8,bison,bison_3,2022,8,5,1,0,11,0,0,3,NA,0,8,0,0,11,0
bison_3-8,bison,bison_3,2022,8,5,2,0,11,0,0,0,NA,0,11,0,0,10,0
bison_3-8,bison,bison_3,2022,8,5,3,0,11,0,0,-5,NA,0,16,0,0,18,0
bison_3-8,bison,bison_3,2022,8,5,4,0,14,0,0,-5,NA,0,19,0,0,13,0
bison_3-8,bison,bison_3,2022,8,5,5,0,21,0,0,2,NA,0,19,0,0,14,0
bison_3-8,bison,bison_3,2022,8,5,6,0,11,0,0,2,NA,0,9,0,1,14,0
bison_3-8,bison,bison_3,2022,8,5,7,2,5,0,1,-1,NA,1,6,0,1,6,0
bison_3-8,bison,bison_3,2022,8,5,8,1,3,0,0,0,NA,1,3,0,1,1,0
cattle_1-8,cattle,cattle_1,2022,8,8,1,3,12,0,1,-1,NA,2,13,0,2,18,0
cattle_1-8,cattle,cattle_1,2022,8,8,2,3,15,0,1,4,NA,2,11,0,4,16,0
cattle_1-8,cattle,cattle_1,2022,8,8,3,9,10,0,2,4,NA,7,6,0,8,8,0
cattle_1-8,cattle,cattle_1,2022,8,8,4,10,9,0,0,0,NA,10,9,0,12,14,0
cattle_1-8,cattle,cattle_1,2022,8,8,5,8,10,0,1,1,NA,7,9,0,9,15,0
cattle_1-8,cattle,cattle_1,2022,8,8,6,8,3,0,0,3,NA,8,0,0,13,3,0
cattle_1-8,cattle,cattle_1,2022,8,8,7,13,10,0,4,1,NA,9,9,0,11,11,0
cattle_1-8,cattle,cattle_1,2022,8,8,8,11,5,0,0,1,NA,11,4,0,10,5,0
cattle_2-8,cattle,cattle_2,2022,8,5,1,0,9,0,-1,-1,NA,1,10,0,0,6,0
cattle_2-8,cattle,cattle_2,2022,8,5,2,0,13,0,0,0,NA,0,13,0,2,14,0
cattle_2-8,cattle,cattle_2,2022,8,5,3,0,12,0,-1,-2,NA,1,14,0,1,15,0
cattle_2-8,cattle,cattle_2,2022,8,5,4,0,15,0,0,-1,NA,0,16,0,1,18,0
cattle_2-8,cattle,cattle_2,2022,8,5,5,0,11,0,0,-2,NA,0,13,0,0,11,0
cattle_2-8,cattle,cattle_2,2022,8,5,6,0,4,0,-1,-1,NA,1,5,0,1,7,0
cattle_2-8,cattle,cattle_2,2022,8,5,7,0,11,0,0,-2,NA,0,13,0,2,18,0
cattle_2-8,cattle,cattle_2,2022,8,5,8,0,9,0,0,0,NA,0,9,0,0,10,0
cattle_3-8,cattle,cattle_3,2022,8,2,1,0,1,0,0,-3,NA,0,4,0,0,0,0
cattle_3-8,cattle,cattle_3,2022,8,2,2,0,1,0,0,1,NA,0,0,0,0,1,0
cattle_3-8,cattle,cattle_3,2022,8,2,3,0,0,0,0,0,NA,0,0,0,0,0,0
cattle_3-8,cattle,cattle_3,2022,8,2,4,0,0,0,0,0,NA,0,0,0,0,0,0
cattle_3-8,cattle,cattle_3,2022,8,2,5,0,0,0,0,-1,NA,0,1,0,0,0,0
cattle_3-8,cattle,cattle_3,2022,8,2,6,0,0,0,0,0,NA,0,0,0,0,1,0
cattle_3-8,cattle,cattle_3,2022,8,2,7,0,1,0,0,-1,NA,0,2,0,0,3,0
cattle_3-8,cattle,cattle_3,2022,8,2,8,0,0,0,0,-3,NA,0,3,0,0,4,0
trtpd_1-8,trtpd,trtpd_1,2022,8,9,1,0,0,9,0,0,2,0,0,7,0,0,7
trtpd_1-8,trtpd,trtpd_1,2022,8,9,2,0,0,2,0,-1,-1,0,1,3,0,0,2
trtpd_1-8,trtpd,trtpd_1,2022,8,9,3,0,1,1,0,-1,-4,0,2,5,0,5,6
trtpd_1-8,trtpd,trtpd_1,2022,8,9,4,0,3,5,0,0,-5,0,3,10,0,4,14
trtpd_1-8,trtpd,trtpd_1,2022,8,9,5,0,4,2,0,-1,-1,0,5,3,0,8,4
trtpd_1-8,trtpd,trtpd_1,2022,8,9,6,0,5,1,0,0,-4,0,5,5,0,5,18
trtpd_1-8,trtpd,trtpd_1,2022,8,9,7,0,9,4,0,-2,-6,0,11,10,0,15,18
trtpd_1-8,trtpd,trtpd_1,2022,8,9,8,0,7,3,0,0,-5,0,7,8,0,9,20
trtpd_2-8,trtpd,trtpd_2,2022,8,2,1,0,0,0,0,0,0,0,0,0,1,0,0
trtpd_2-8,trtpd,trtpd_2,2022,8,2,2,0,0,2,0,0,2,0,0,0,1,0,0
trtpd_2-8,trtpd,trtpd_2,2022,8,2,3,0,0,1,0,0,0,0,0,1,0,0,0
trtpd_2-8,trtpd,trtpd_2,2022,8,2,4,0,0,34,0,0,-5,0,0,39,0,0,39
trtpd_2-8,trtpd,trtpd_2,2022,8,2,5,0,0,5,0,-1,3,0,1,2,0,0,8
trtpd_2-8,trtpd,trtpd_2,2022,8,2,6,0,0,2,0,0,-5,0,0,7,0,0,5
trtpd_2-8,trtpd,trtpd_2,2022,8,2,7,0,0,0,0,-2,-20,0,2,20,0,2,10
trtpd_2-8,trtpd,trtpd_2,2022,8,2,8,0,3,23,0,2,14,0,1,9,0,1,112
trtpd_3-8,trtpd,trtpd_3,2022,8,4,1,0,0,7,0,-1,4,0,1,3,0,0,1
trtpd_3-8,trtpd,trtpd_3,2022,8,4,2,0,1,0,0,0,-2,0,1,2,0,2,13
trtpd_3-8,trtpd,trtpd_3,2022,8,4,3,0,2,3,0,1,-9,0,1,12,0,2,10
trtpd_3-8,trtpd,trtpd_3,2022,8,4,4,0,2,1,0,0,-2,0,2,3,0,5,18
trtpd_3-8,trtpd,trtpd_3,2022,8,4,5,0,2,25,0,-3,19,0,5,6,0,5,15
trtpd_3-8,trtpd,trtpd_3,2022,8,4,6,0,1,3,0,0,-2,0,1,5,0,3,0
